date(YYYY-m-d),streamflow
2018-06-14,1.242478741
2018-06-15,1.215242313
2018-06-16,1.080238765
2018-06-17,0.943129405
2018-06-18,0.951782211
2018-06-19,0.983241923
2018-06-20,1.061451666
2018-06-21,0.980386226
2018-06-22,0.868911579
2018-06-23,0.814286758
2018-06-24,0.69644184
2018-06-25,0.68659515
2018-06-26,1.279854935
2018-06-27,12.81843603
2018-06-28,5.27775319
2018-06-29,3.867827726
2018-06-30,3.475289413
2018-07-01,43.47921498
2018-07-02,105.3683327
2018-07-03,68.17803704
2018-07-04,23.59429295
2018-07-05,18.23389326
2018-07-06,14.55107624
2018-07-07,11.71221036
2018-07-08,9.990418437
2018-07-09,10.14298187
2018-07-10,11.22372074
2018-07-11,8.686889488
2018-07-12,7.51197253
2018-07-13,6.503549005
2018-07-14,5.534268321
2018-07-15,4.877313629
2018-07-16,4.380582918
2018-07-17,4.034175044
2018-07-18,3.130962378
2018-07-19,2.284232669
2018-07-20,1.987922151
2018-07-21,1.796400018
2018-07-22,1.594777655
2018-07-23,1.43542501
2018-07-24,1.305618812
2018-07-25,1.237846631
2018-07-26,1.126848606
2018-07-27,1.146153547
2018-07-28,3.598658539
2018-07-29,3.050256305
2018-07-30,2.436158185
2018-07-31,1.994189588
2018-08-01,1.770851754
2018-08-02,1.558863956
2018-08-03,1.43542501
2018-08-04,1.258058928
2018-08-05,1.190651988
2018-08-06,1.190651988
2018-08-07,1.190651988
2018-08-08,1.190651988
2018-08-09,1.194584875
2018-08-10,3.643831758
2018-08-11,2.704439586
2018-08-12,2.010204863
2018-08-13,1.722693441
2018-08-14,1.436543329
2018-08-15,1.16616581
2018-08-16,0.990928116
2018-08-17,0.910465605
2018-08-18,0.764933336
2018-08-19,0.671357785
2018-08-20,0.631244799
2018-08-21,0.584819098
2018-08-22,0.74824088
2018-08-23,1.124156449
2018-08-24,2.146904789
2018-08-25,2.357928264
2018-08-26,1.715105981
2018-08-27,10.02078455
2018-08-28,95.59849713
2018-08-29,57.54647358
2018-08-30,21.43386158
2018-08-31,72.55943186
2018-09-01,34.43145318
2018-09-02,18.90747849
2018-09-03,14.97643276
2018-09-04,142.5335084
2018-09-05,36.24423357
2018-09-06,20.1691795
2018-09-07,15.2279939
2018-09-08,12.15644354
2018-09-09,10.26292012
2018-09-10,8.667744614
2018-09-11,7.649761195
2018-09-12,7.054272248
2018-09-13,6.755947216
2018-09-14,6.748852206
2018-09-15,7.289267663
2018-09-16,6.630031661
2018-09-17,6.244621316
2018-09-18,5.829252472
2018-09-19,5.556847213
2018-09-20,5.764575072
2018-09-21,7.929036009
2018-09-22,6.054223261
2018-09-23,4.707019382
2018-09-24,4.03393287
2018-09-25,3.682633661
2018-09-26,3.515183268
2018-09-27,3.337820206
2018-09-28,3.170264714
2018-09-29,3.075777236
2018-09-30,3.066001585
2018-10-01,2.935632132
2018-10-02,2.841298059
2018-10-03,2.81333807
2018-10-04,2.766962885
2018-10-05,7.352680164
2018-10-06,16.66942924
2018-10-07,9.308441047
2018-10-08,6.269530128
2018-10-09,5.431969338
2018-10-10,4.93340817
2018-10-11,4.486974238
2018-10-12,3.616134689
2018-10-13,3.240194671
2018-10-14,3.100216362
2018-10-15,2.969045995
2018-10-16,2.841298059
2018-10-17,2.753320087
2018-10-18,2.680558496
2018-10-19,2.799920069
2018-10-20,2.595936196
2018-10-21,2.49988436
2018-10-22,2.44397611
2018-10-23,2.380728021
2018-10-24,2.33899577
2018-10-25,2.411330804
2018-10-26,2.517739591
2018-10-27,2.758877239
2018-10-28,2.62344659
2018-10-29,3.116836907
